"player_id","player","position","minutes_played","fouls_received","ft_attempted","ft_made","two_pt_attempted","two_pt_made","three_pt_attempted","three_pt_made"
1,"Allen Iverson","PG",3103.35,672,829,675,1599,743,223,72
2,"Andre Iguodala","PG",3085.3,258,349,263,530,288,158,56
3,"Chris Webber","PF",2892.9,255,348,263,1345,596,77,21
4,"John Salmons","SG",2059.35,175,200,155,434,193,87,26
5,"Kevin Ollie","SG",1069.01666666667,56,49,41,171,74,3,1
6,"Kyle Korver","SF",2562.8,124,119,101,323,143,438,184
7,"Lee Nailon","PF",237.5,13,15,13,80,40,0,0
8,"Lou Williams","PG",144.966666666667,9,13,8,43,21,9,2
9,"Matt Barnes","PF",538.35,33,43,29,99,57,11,2
10,"Michael Bradley","PF",368.033333333333,9,3,2,74,31,5,1
11,"Samuel Dalembert","C",1761.7,114,132,93,368,196,1,0
12,"Shavlik Randolph","PF",486.383333333333,58,71,43,97,44,0,0
13,"Steven Hunter","C",1310.61666666667,107,138,71,291,175,0,0
